"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"fpsmo","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","RUR","","","5.5 [3.8-8.0]","5.51682","3.76109","8.02381",""
"fpsmo","EQ_DHS","PUBLISHED","2011","AFR","CIV","","","URB","","","33.9 [30.0-38.1]","33.92662","30.00354","38.08358",""
"fpsmo","EQ_DHS","PUBLISHED","1998","AFR","CMR","","","RUR","","","13.7 [11.2-16.6]","13.71088","11.23842","16.62539",""
"fpsmo","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","URB","","","36.1 [33.6-38.7]","36.12514","33.64448","38.68207",""
"fpsmo","EQ_MICS","PUBLISHED","2006","AFR","CMR","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","URB","","","37.1 [35.0-39.3]","37.10812","34.95378","39.31497",""
"fpsmo","EQ_MICS","PUBLISHED","2014","AFR","CMR","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1995","AMR","COL","","","URB","","","74.8 [73.2-76.4]","74.81313","73.18466","76.37463",""
"fpsmo","EQ_DHS","PUBLISHED","2000","AMR","COL","","","RUR","","","66.8 [63.7-69.8]","66.82114","63.66967","69.82878",""
"fpsmo","EQ_DHS","PUBLISHED","2005","AMR","COL","","","URB","","","80.5 [79.5-81.4]","80.48562","79.51716","81.41899",""
"fpsmo","EQ_DHS","PUBLISHED","2010","AMR","COL","","","RUR","","","81.6 [80.4-82.8]","81.62484","80.37827","82.80915",""
"fpsmo","EQ_DHS","PUBLISHED","2015","AMR","COL","","","URB","","","87.5 [86.5-88.5]","87.50620","86.48470","88.46080",""
"fpsmo","EQ_DHS","PUBLISHED","1996","AFR","COM","","","RUR","","","18.7 [15.2-22.8]","18.69436","15.16819","22.81976",""
"fpsmo","EQ_MICS","PUBLISHED","2010","AMR","CUB","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2014","AMR","CUB","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2006","EMR","DJI","","","URB","","","44.5 [39.4-49.7]","44.47528","39.41013","49.65788",""
"fpsmo","EQ_DHS","PUBLISHED","1996","AMR","DOM","","","RUR","","","73.2 [70.8-75.6]","73.23241","70.75134","75.57568",""
"fpsmo","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_RHS","PUBLISHED","1999","AMR","ECU","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_RHS","PUBLISHED","2004","AMR","ECU","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1995","EMR","EGY","","","URB","","","77.8 [76.3-79.4]","77.84538","76.25274","79.36012",""
"fpsmo","EQ_DHS","PUBLISHED","2000","EMR","EGY","","","RUR","","","76.2 [74.6-77.7]","76.15818","74.55977","77.68623",""
"fpsmo","EQ_DHS","PUBLISHED","2011","AFR","ETH","","","URB","","","73.3 [68.7-77.5]","73.34523","68.68122","77.54179",""
"fpsmo","EQ_DHS","PUBLISHED","2000","AFR","GAB","","","RUR","","","9.7 [7.7-12.3]","9.74768","7.67320","12.30824",""
