"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001784_ARCHIVED","SA_0000001784_ESP","PUBLISHED","2005","EUR","ESP","MLE","25.0","25.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_AUT","PUBLISHED","2010","EUR","AUT","FMLE","28.0","28.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_SVK","PUBLISHED","2010","EUR","SVK","MLE","28.0","28.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_CZE","PUBLISHED","2010","EUR","CZE","FMLE","33.0","33.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_BGR","PUBLISHED","2005","EUR","BGR","FMLE","33.0","33.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_AUT","PUBLISHED","2005","EUR","AUT","FMLE","35.0","35.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_GRC","PUBLISHED","2005","EUR","GRC","MLE","42.0","42.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_GRC","PUBLISHED","2010","EUR","GRC","MLE","43.0","43.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ARM","PUBLISHED","2005","EUR","ARM","MLE","","","","","missing data"
"SA_0000001784_ARCHIVED","SA_0000001784_POL","PUBLISHED","2005","EUR","POL","FMLE","7.0","7.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_FIN","PUBLISHED","2010","EUR","FIN","FMLE","8.0","8.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_SWE","PUBLISHED","2010","EUR","SWE","MLE","11.0","11.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_USA","PUBLISHED","2010","AMR","USA","MLE","11.0","11.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_DEU","PUBLISHED","2010","EUR","DEU","FMLE","15.0","15.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_DEU","PUBLISHED","2005","EUR","DEU","FMLE","15.0","15.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_NLD","PUBLISHED","2010","EUR","NLD","FMLE","18.0","18.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_CAN","PUBLISHED","2005","AMR","CAN","MLE","19.0","19.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_BEL","PUBLISHED","2005","EUR","BEL","FMLE","23.0","23.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_GRC","PUBLISHED","2005","EUR","GRC","FMLE","24.0","24.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LUX","PUBLISHED","2010","EUR","LUX","MLE","26.0","26.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ARM","PUBLISHED","2010","EUR","ARM","MLE","27.0","27.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_HRV","PUBLISHED","2010","EUR","HRV","FMLE","27.0","27.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ITA","PUBLISHED","2005","EUR","ITA","FMLE","30.0","30.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LUX","PUBLISHED","2005","EUR","LUX","MLE","30.0","30.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_GBR","PUBLISHED","2005","EUR","GBR","FMLE","37.3","37.30000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ITA","PUBLISHED","2010","EUR","ITA","MLE","39.0","39.00000","","",""
