"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"wast3","EQ_DHS","PUBLISHED","2000","AFR","MWI","","","","WQ5","","6.9 [5.0-9.6]","6.94148","4.98030","9.59693",""
"wast3","EQ_DHS","PUBLISHED","2004","AFR","MWI","","","","WQ1","","9.2 [7.2-11.6]","9.18027","7.21444","11.61471",""
"wast3","EQ_MICS","PUBLISHED","2006","AFR","MWI","","","","WQ2","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2015","AFR","MWI","","","","WQ2","","3.1 [2.0-4.7]","3.09268","2.01711","4.71418",""
"wast3","EQ_DHS","PUBLISHED","2000","AFR","NAM","","","","WQ1","","14.8 [10.8-19.9]","14.79106","10.78842","19.94669",""
"wast3","EQ_DHS","PUBLISHED","2000","AFR","NAM","","","","WQ3","","9.1 [6.2-13.3]","9.14011","6.18573","13.30543",""
"wast3","EQ_DHS","PUBLISHED","2013","AFR","NAM","","","","WQ5","","6.6 [2.8-14.7]","6.60311","2.81158","14.73259",""
"wast3","EQ_DHS","PUBLISHED","1998","AFR","NER","","","","WQ1","","26.9 [23.5-30.6]","26.90221","23.50970","30.58849",""
"wast3","EQ_DHS","PUBLISHED","2006","AFR","NER","","","","WQ2","","17.3 [13.6-21.7]","17.28381","13.59575","21.72080",""
"wast3","EQ_DHS","PUBLISHED","2012","AFR","NER","","","","WQ5","","14.7 [12.2-17.6]","14.70420","12.18087","17.64523",""
"wast3","EQ_DHS","PUBLISHED","1999","AFR","NGA","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2003","AFR","NGA","","","","WQ2","","15.3 [12.5-18.6]","15.29520","12.46653","18.62910",""
"wast3","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2013","AFR","NGA","","","","WQ3","","19.8 [17.7-22.1]","19.78291","17.69167","22.05510",""
"wast3","EQ_RHS","PUBLISHED","1992","AMR","NIC","","","","WQ2","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2001","AMR","NIC","","","","WQ1","","4.4 [2.6-7.4]","4.39385","2.56759","7.42015",""
"wast3","EQ_RHS","PUBLISHED","2006","AMR","NIC","","","","WQ2","","1.7 [0.9-3.0]","1.69559","0.93746","3.04795",""
"wast3","EQ_RHS","PUBLISHED","2006","AMR","NIC","","","","WQ4","","0.7 [0.2-2.2]","0.66497","0.19544","2.23729",""
"wast3","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","","","WQ3","","17.5 [14.6-21.0]","17.54823","14.57594","20.97777",""
"wast3","EQ_MICS","PUBLISHED","2010","SEAR","NPL","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2006","EMR","PAK","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2012","EMR","PAK","","","","WQ2","","14.2 [9.9-19.9]","14.17207","9.89768","19.88502",""
"wast3","EQ_DHS","PUBLISHED","2012","EMR","PAK","","","","WQ4","","8.8 [5.8-13.2]","8.83498","5.82518","13.18224",""
"wast3","EQ_MICS","PUBLISHED","2013","AMR","PAN","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2000","AMR","PER","","","","WQ2","","1.2 [0.8-1.9]","1.19937","0.76396","1.87824",""
