"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000014","PUBLISHED","2015","AFR","DZA","","19.3","19.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","ALB","","4.0","4.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","AFG","","26.7","26.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","YEM","","29.0","29.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","VEN","","7.1","7.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","ARE","","7.4","7.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","UGA","","21.0","21.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","TTO","","11.1","11.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","TGO","","34.2","34.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","SWE","","2.8","2.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","SUR","","19.3","19.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","SLB","","17.6","17.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","SVK","","2.9","2.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","SEN","","24.5","24.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","STP","","16.3","16.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","RUS","","4.5","4.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","MDA","","7.9","7.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","PRY","","13.4","13.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","PAN","","6.1","6.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","NIU","","9.7","9.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","NER","","36.7","36.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","NZL","","2.3","2.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","SEAR","MMR","","20.0","20.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","MAR","","24.5","24.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","MRT","","27.1","27.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","MLT","","3.5","3.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","MDG","","18.2","18.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","LTU","","3.2","3.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","LBR","","21.4","21.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","KGZ","","10.2","10.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","KIR","","16.3","16.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","ISR","","4.2","4.20000","","",""
