"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"ebreast","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","WQ3","","75.5 [72.3-78.4]","75.51257","72.34251","78.42764",""
"ebreast","EQ_MICS","PUBLISHED","2015","AMR","MEX","","","","WQ5","","42.7 [30.5-55.8]","42.68425","30.54538","55.77335",""
"ebreast","EQ_MICS","PUBLISHED","2005","EUR","MKD","","","","WQ1","","36.3 [24.9-49.5]","36.30357","24.90023","49.48791",""
"ebreast","EQ_MICS","PUBLISHED","2005","EUR","MKD","","","","WQ2","","25.4 [17.9-34.7]","25.38201","17.89187","34.68326",""
"ebreast","EQ_DHS","PUBLISHED","1995","AFR","MLI","","","","WQ3","","7.0 [5.3-9.4]","7.04955","5.25638","9.39379",""
"ebreast","EQ_DHS","PUBLISHED","1995","AFR","MLI","","","","WQ4","","8.3 [6.4-10.7]","8.31019","6.43645","10.66722",""
"ebreast","EQ_DHS","PUBLISHED","1995","AFR","MLI","","","","WQ5","","11.7 [9.3-14.7]","11.74974","9.30506","14.73237",""
"ebreast","EQ_MICS","PUBLISHED","2009","AFR","MLI","","","","WQ1","","55.5 [51.8-59.1]","55.47516","51.80593","59.08565",""
"ebreast","EQ_MICS","PUBLISHED","2009","AFR","MLI","","","","WQ2","","55.0 [51.9-58.1]","55.04516","51.93652","58.11488",""
"ebreast","EQ_MICS","PUBLISHED","2009","AFR","MLI","","","","WQ3","","55.0 [51.4-58.5]","54.96871","51.37613","58.51021",""
"ebreast","EQ_MICS","PUBLISHED","2009","AFR","MLI","","","","WQ4","","59.2 [56.2-62.1]","59.17615","56.18357","62.10220",""
"ebreast","EQ_DHS","PUBLISHED","2015","SEAR","MMR","","","","WQ5","","71.0 [63.7-77.3]","70.95111","63.70084","77.26997",""
"ebreast","EQ_MICS","PUBLISHED","2005","EUR","MNE","","","","WQ1","","40.2 [26.4-55.8]","40.23181","26.37849","55.84212",""
"ebreast","EQ_MICS","PUBLISHED","2005","EUR","MNE","","","","WQ2","","31.9 [21.4-44.7]","31.94506","21.44997","44.65593",""
"ebreast","EQ_MICS","PUBLISHED","2005","WPR","MNG","","","","WQ4","","78.8 [72.5-83.9]","78.76556","72.50445","83.91718",""
"ebreast","EQ_MICS","PUBLISHED","2005","WPR","MNG","","","","WQ5","","72.5 [67.1-77.4]","72.53790","67.12714","77.35845",""
"ebreast","EQ_MICS","PUBLISHED","2010","WPR","MNG","","","","WQ1","","72.1 [66.9-76.8]","72.14594","66.93501","76.82006",""
"ebreast","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","","WQ2","","74.3 [66.9-80.5]","74.32702","66.94125","80.54234",""
"ebreast","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","","WQ3","","85.1 [77.3-90.5]","85.08904","77.29008","90.53761",""
"ebreast","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","","WQ4","","83.9 [78.1-88.5]","83.94453","78.07363","88.47549",""
"ebreast","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","","WQ5","","75.1 [70.6-79.0]","75.07130","70.61788","79.04997",""
"ebreast","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","","","WQ1","","77.7 [74.5-80.6]","77.65958","74.47361","80.55176",""
"ebreast","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","","","WQ2","","79.4 [75.4-82.9]","79.38586","75.38683","82.88268",""
"ebreast","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","","","WQ3","","82.7 [79.7-85.3]","82.65311","79.69877","85.25704",""
"ebreast","EQ_MICS","PUBLISHED","2011","AFR","MRT","","","","WQ5","","54.8 [49.6-59.8]","54.76850","49.59829","59.83779",""
"ebreast","EQ_DHS","PUBLISHED","2000","AFR","MWI","","","","WQ1","","71.2 [68.4-73.8]","71.21788","68.44380","73.84130",""
"ebreast","EQ_DHS","PUBLISHED","2000","AFR","MWI","","","","WQ2","","71.5 [68.1-74.7]","71.53755","68.14332","74.70438",""
"ebreast","EQ_MICS","PUBLISHED","2006","AFR","MWI","","","","WQ3","","59.5 [56.5-62.5]","59.51989","56.50442","62.46517",""
"ebreast","EQ_MICS","PUBLISHED","2006","AFR","MWI","","","","WQ4","","60.3 [56.8-63.7]","60.31048","56.83919","63.68098",""
"ebreast","EQ_MICS","PUBLISHED","2006","AFR","MWI","","","","WQ5","","65.8 [61.2-70.0]","65.77399","61.24206","70.03529",""
"ebreast","EQ_DHS","PUBLISHED","2015","AFR","MWI","","","","WQ1","","80.4 [78.1-82.5]","80.41914","78.11624","82.53391",""
"ebreast","EQ_DHS","PUBLISHED","2015","AFR","MWI","","","","WQ2","","79.6 [76.7-82.3]","79.61948","76.70305","82.25527",""
"ebreast","EQ_DHS","PUBLISHED","2015","AFR","MWI","","","","WQ3","","80.6 [78.0-83.0]","80.64484","78.02417","83.02099",""
"ebreast","EQ_DHS","PUBLISHED","2015","AFR","MWI","","","","WQ4","","77.8 [74.9-80.5]","77.82088","74.94701","80.45106",""
"ebreast","EQ_DHS","PUBLISHED","2006","AFR","NAM","","","","WQ5","","72.5 [66.1-78.2]","72.54922","66.08687","78.18661",""
"ebreast","EQ_DHS","PUBLISHED","2013","AFR","NAM","","","","WQ1","","75.3 [71.0-79.2]","75.34397","71.03943","79.19608",""
"ebreast","EQ_DHS","PUBLISHED","2013","AFR","NAM","","","","WQ2","","71.3 [67.2-75.1]","71.29646","67.22129","75.05302",""
"ebreast","EQ_DHS","PUBLISHED","2006","AFR","NER","","","","WQ4","","48.7 [43.7-53.8]","48.74080","43.68499","53.82251",""
"ebreast","EQ_DHS","PUBLISHED","2006","AFR","NER","","","","WQ5","","58.3 [54.2-62.3]","58.31826","54.22935","62.29585",""
"ebreast","EQ_DHS","PUBLISHED","2012","AFR","NER","","","","WQ1","","48.3 [44.2-52.5]","48.33001","44.16399","52.51938",""
"ebreast","EQ_DHS","PUBLISHED","2003","AFR","NGA","","","","WQ2","","31.0 [25.2-37.5]","31.03887","25.21721","37.53004",""
"ebreast","EQ_DHS","PUBLISHED","2003","AFR","NGA","","","","WQ3","","36.8 [31.3-42.7]","36.79890","31.30409","42.65927",""
"ebreast","EQ_DHS","PUBLISHED","2003","AFR","NGA","","","","WQ4","","33.7 [26.6-41.6]","33.69139","26.59310","41.61037",""
"ebreast","EQ_DHS","PUBLISHED","2003","AFR","NGA","","","","WQ5","","34.8 [27.2-43.3]","34.81202","27.22252","43.25971",""
"ebreast","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","","WQ1","","18.3 [15.8-21.2]","18.34918","15.78714","21.22223",""
"ebreast","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","","WQ2","","21.3 [19.1-23.8]","21.32291","19.06975","23.76412",""
"ebreast","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","","WQ3","","23.0 [20.5-25.8]","23.03269","20.48207","25.79789",""
"ebreast","EQ_RHS","PUBLISHED","1992","AMR","NIC","","","","WQ4","","45.3 [38.3-52.5]","45.32642","38.31152","52.53197",""
"ebreast","EQ_RHS","PUBLISHED","1992","AMR","NIC","","","","WQ5","","35.1 [29.2-41.4]","35.07450","29.21860","41.41728",""
"ebreast","EQ_RHS","PUBLISHED","2006","AMR","NIC","","","","WQ3","","63.5 [57.9-68.7]","63.45559","57.92150","68.65571",""
"ebreast","EQ_RHS","PUBLISHED","2006","AMR","NIC","","","","WQ4","","54.0 [48.4-59.4]","53.98482","48.42343","59.44873",""
"ebreast","EQ_RHS","PUBLISHED","2006","AMR","NIC","","","","WQ5","","44.5 [38.8-50.5]","44.53705","38.76712","50.45808",""
"ebreast","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","","","WQ1","","30.7 [25.9-35.8]","30.65139","25.91154","35.83886",""
"ebreast","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","","","WQ2","","38.6 [31.7-46.1]","38.61630","31.65327","46.07839",""
"ebreast","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","","","WQ3","","34.5 [29.3-40.2]","34.54813","29.32479","40.17299",""
"ebreast","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","","","WQ4","","34.4 [29.6-39.6]","34.42851","29.59098","39.61196",""
"ebreast","EQ_DHS","PUBLISHED","2011","SEAR","NPL","","","","WQ5","","52.6 [47.2-58.0]","52.61543","47.18123","57.98837",""
"ebreast","EQ_MICS","PUBLISHED","2014","SEAR","NPL","","","","WQ1","","52.6 [47.0-58.2]","52.63166","47.00330","58.19392",""
"ebreast","EQ_MICS","PUBLISHED","2014","SEAR","NPL","","","","WQ2","","53.6 [47.2-59.8]","53.55027","47.15910","59.82693",""
"ebreast","EQ_DHS","PUBLISHED","2012","EMR","PAK","","","","WQ3","","17.6 [14.7-20.8]","17.58693","14.74373","20.84437",""
"ebreast","EQ_DHS","PUBLISHED","2012","EMR","PAK","","","","WQ4","","15.7 [12.7-19.2]","15.65806","12.70082","19.15278",""
"ebreast","EQ_DHS","PUBLISHED","2012","EMR","PAK","","","","WQ5","","21.4 [18.2-25.1]","21.44278","18.17741","25.11468",""
"ebreast","EQ_DHS","PUBLISHED","2000","AMR","PER","","","","WQ2","","57.8 [54.8-60.7]","57.75745","54.79443","60.66568",""
"ebreast","EQ_DHS","PUBLISHED","2000","AMR","PER","","","","WQ3","","57.8 [53.6-61.8]","57.75360","53.60392","61.79665",""
"ebreast","EQ_DHS","PUBLISHED","2000","AMR","PER","","","","WQ4","","56.4 [52.0-60.6]","56.38157","52.04932","60.61855",""
"ebreast","EQ_DHS","PUBLISHED","2000","AMR","PER","","","","WQ5","","43.7 [38.5-49.0]","43.67171","38.51925","48.96447",""
"ebreast","EQ_DHS","PUBLISHED","2006","AMR","PER","","","","WQ1","","50.7 [43.2-58.2]","50.68378","43.16500","58.17174",""
"ebreast","EQ_DHS","PUBLISHED","2006","AMR","PER","","","","WQ2","","50.7 [44.4-57.0]","50.74051","44.41578","57.04161",""
"ebreast","EQ_DHS","PUBLISHED","2006","AMR","PER","","","","WQ3","","56.0 [49.6-62.2]","56.03344","49.64746","62.22573",""
"ebreast","EQ_DHS","PUBLISHED","2008","AMR","PER","","","","WQ4","","50.5 [43.7-57.2]","50.45383","43.68856","57.20254",""
"ebreast","EQ_DHS","PUBLISHED","2008","AMR","PER","","","","WQ5","","47.9 [41.3-54.5]","47.87322","41.33852","54.48153",""
"ebreast","EQ_DHS","PUBLISHED","2009","AMR","PER","","","","WQ1","","66.3 [63.2-69.3]","66.29719","63.19007","69.26959",""
"ebreast","EQ_DHS","PUBLISHED","2011","AMR","PER","","","","WQ3","","46.8 [42.7-51.0]","46.84498","42.69949","51.03448",""
"ebreast","EQ_DHS","PUBLISHED","2011","AMR","PER","","","","WQ4","","40.0 [35.1-45.1]","40.01257","35.10488","45.12924",""
"ebreast","EQ_DHS","PUBLISHED","2011","AMR","PER","","","","WQ5","","23.6 [18.5-29.7]","23.64295","18.49569","29.70068",""
"ebreast","EQ_DHS","PUBLISHED","1998","WPR","PHL","","","","WQ1","","43.1 [39.9-46.3]","43.07571","39.89096","46.31879",""
"ebreast","EQ_DHS","PUBLISHED","1998","WPR","PHL","","","","WQ2","","40.8 [37.0-44.8]","40.81786","36.99598","44.75410",""
"ebreast","EQ_DHS","PUBLISHED","1998","WPR","PHL","","","","WQ3","","35.2 [30.6-40.0]","35.18800","30.62832","40.03474",""
"ebreast","EQ_DHS","PUBLISHED","1998","WPR","PHL","","","","WQ4","","36.0 [31.0-41.2]","35.95182","31.04234","41.17415",""
"ebreast","EQ_DHS","PUBLISHED","2008","WPR","PHL","","","","WQ5","","49.5 [43.5-55.5]","49.45346","43.45445","55.46824",""
"ebreast","EQ_DHS","PUBLISHED","2013","WPR","PHL","","","","WQ1","","58.4 [54.8-61.9]","58.38700","54.76272","61.92280",""
"ebreast","EQ_DHS","PUBLISHED","2013","WPR","PHL","","","","WQ2","","55.9 [51.9-59.7]","55.86121","51.94482","59.70601",""
"ebreast","EQ_RHS","PUBLISHED","1998","AMR","PRY","","","","WQ3","","32.8 [26.1-40.3]","32.77414","26.05238","40.28538",""
"ebreast","EQ_RHS","PUBLISHED","1998","AMR","PRY","","","","WQ4","","35.7 [28.7-43.4]","35.68927","28.68100","43.36866",""
"ebreast","EQ_RHS","PUBLISHED","1998","AMR","PRY","","","","WQ5","","27.9 [20.2-37.3]","27.94454","20.20955","37.25765",""
"ebreast","EQ_DHS","PUBLISHED","2000","AFR","RWA","","","","WQ2","","45.0 [39.4-50.7]","45.01405","39.43748","50.71878",""
"ebreast","EQ_DHS","PUBLISHED","2000","AFR","RWA","","","","WQ3","","48.8 [44.6-53.0]","48.75951","44.57162","52.96489",""
"ebreast","EQ_DHS","PUBLISHED","2000","AFR","RWA","","","","WQ4","","45.1 [40.4-50.0]","45.11093","40.35950","49.95322",""
"ebreast","EQ_DHS","PUBLISHED","2000","AFR","RWA","","","","WQ5","","50.9 [46.4-55.3]","50.87565","46.44656","55.29105",""
"ebreast","EQ_DHS","PUBLISHED","2014","AFR","RWA","","","","WQ1","","80.9 [78.2-83.4]","80.92617","78.23418","83.35604",""
"ebreast","EQ_DHS","PUBLISHED","2014","AFR","RWA","","","","WQ2","","80.6 [77.9-83.1]","80.63840","77.86520","83.13938",""
"ebreast","EQ_DHS","PUBLISHED","2014","AFR","RWA","","","","WQ3","","83.7 [81.0-86.0]","83.67013","80.99348","86.03483",""
"ebreast","EQ_MICS","PUBLISHED","2014","EMR","SDN","","","","WQ4","","68.2 [64.3-71.9]","68.21154","64.30834","71.87457",""
"ebreast","EQ_MICS","PUBLISHED","2014","EMR","SDN","","","","WQ5","","71.3 [66.5-75.6]","71.29214","66.53377","75.62184",""
"ebreast","EQ_DHS","PUBLISHED","1997","AFR","SEN","","","","WQ1","","15.4 [13.0-18.3]","15.43571","12.95485","18.29182",""
"ebreast","EQ_DHS","PUBLISHED","2010","AFR","SEN","","","","WQ2","","49.2 [44.8-53.7]","49.24353","44.75600","53.74328",""
