"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BEL","GHE000","22,910","22909.55078","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BEL","GHE001","1,361","1361.12598","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BEL","GHE060","18,351","18350.69922","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BEL","GHE151","3,198","3197.72705","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BEL","GHE000","19,878","19877.60938","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BEL","GHE001","1,162","1162.29700","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BEL","GHE060","16,246","16246.16016","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BEL","GHE151","2,469","2469.14697","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BEN","GHE000","85,433","85432.64063","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BEN","GHE001","49,116","49115.80078","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BEN","GHE060","30,436","30435.69922","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BEN","GHE151","5,881","5881.13379","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BEN","GHE000","65,706","65706.29688","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BEN","GHE001","31,393","31392.98047","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BEN","GHE060","29,093","29093.15039","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BEN","GHE151","5,220","5220.16602","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BFA","GHE000","101,477","101477.29688","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BFA","GHE001","66,522","66521.82813","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BFA","GHE060","28,661","28660.66992","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BFA","GHE151","6,295","6294.78076","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BFA","GHE000","70,891","70890.77344","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BFA","GHE001","34,532","34531.83984","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BFA","GHE060","30,108","30107.66016","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BFA","GHE151","6,251","6251.27100","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","SEAR","BGD","GHE000","52,136","52136.17969","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","SEAR","BGD","GHE001","23,279","23278.88086","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","SEAR","BGD","GHE060","24,288","24287.51953","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","SEAR","BGD","GHE151","4,570","4569.77979","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","SEAR","BGD","GHE000","38,814","38814.17969","","",""
