"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"TOBACCO_0000000344","PUBLISHED","2002","AFR","","ZAF","MLE","29.0","29.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AFR","","ZAF","FMLE","20.0","20.00000","","",""
"TOBACCO_0000000344","PUBLISHED","1999","AFR","","ZAF","MLE","29.0","29.00000","","",""
"TOBACCO_0000000344","PUBLISHED","1999","AFR","","ZAF","FMLE","20.8","20.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AFR","","ZMB","MLE","24.9","24.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AFR","","ZMB","FMLE","25.8","25.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2012","AMR","","ARG","MLE","22.7","22.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2012","AMR","","ARG","FMLE","25.4","25.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","ARG","MLE","26.1","26.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","ARG","FMLE","29.7","29.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","ATG","MLE","24.3","24.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","ATG","FMLE","15.9","15.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","ATG","MLE","15.1","15.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","ATG","FMLE","12.5","12.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AMR","","ATG","MLE","13.8","13.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AMR","","ATG","FMLE","11.8","11.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2013","AMR","","BHS","MLE","16.0","16.00000","","","Tobacco smoking only"
"TOBACCO_0000000344","PUBLISHED","2013","AMR","","BHS","FMLE","10.7","10.70000","","","Tobacco smoking only"
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","BHS","MLE","17.8","17.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","BHS","FMLE","15.1","15.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","BHS","MLE","12.9","12.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","BHS","FMLE","10.2","10.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","BLZ","MLE","21.8","21.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","BLZ","FMLE","15.3","15.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","BLZ","MLE","22.6","22.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","BLZ","FMLE","13.5","13.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2012","AMR","","BOL","MLE","20.9","20.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2012","AMR","","BOL","FMLE","16.4","16.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","BRB","MLE","34.5","34.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","BRB","FMLE","23.2","23.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","BRB","MLE","16.9","16.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","BRB","FMLE","12.9","12.90000","","",""
"TOBACCO_0000000344","PUBLISHED","1999","AMR","","BRB","MLE","15.9","15.90000","","",""
"TOBACCO_0000000344","PUBLISHED","1999","AMR","","BRB","FMLE","17.7","17.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","CRI","MLE","15.9","15.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","CRI","FMLE","13.1","13.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","CRI","MLE","18.5","18.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","CRI","FMLE","18.6","18.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","CUB","MLE","19.8","19.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","CUB","FMLE","15.0","15.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","DMA","MLE","30.4","30.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","DMA","FMLE","19.8","19.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","DMA","MLE","19.3","19.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","DMA","FMLE","13.5","13.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","DOM","MLE","24.3","24.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","DOM","FMLE","14.0","14.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","DOM","MLE","18.4","18.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","DOM","FMLE","11.9","11.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","GRD","MLE","24.5","24.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","GRD","FMLE","16.7","16.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","GRD","MLE","17.6","17.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","GRD","FMLE","15.7","15.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","GTM","MLE","19.7","19.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","GTM","FMLE","13.3","13.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","GUY","MLE","25.3","25.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","GUY","FMLE","16.0","16.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","GUY","MLE","17.6","17.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","GUY","FMLE","12.2","12.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","AMR","","HTI","MLE","20.3","20.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","AMR","","HTI","FMLE","19.2","19.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","JAM","MLE","31.3","31.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","JAM","FMLE","24.6","24.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AMR","","JAM","MLE","24.0","24.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AMR","","JAM","FMLE","15.3","15.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AMR","","JAM","MLE","24.4","24.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AMR","","JAM","FMLE","14.5","14.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","KNA","MLE","10.4","10.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","KNA","FMLE","7.8","7.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","KNA","MLE","18.2","18.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","KNA","FMLE","13.6","13.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","LCA","MLE","24.5","24.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","LCA","FMLE","17.3","17.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","LCA","MLE","22.4","22.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","LCA","FMLE","14.5","14.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","MEX","MLE","21.6","21.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","MEX","FMLE","17.7","17.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2012","AMR","","PAN","MLE","15.1","15.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2012","AMR","","PAN","FMLE","10.2","10.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","PAN","MLE","10.5","10.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","PAN","FMLE","6.5","6.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","PAN","MLE","20.5","20.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","PAN","FMLE","15.6","15.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","PER","MLE","21.5","21.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","PER","FMLE","16.5","16.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","PRY","MLE","20.8","20.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AMR","","PRY","FMLE","12.9","12.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","SLV","MLE","18.2","18.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","SLV","FMLE","11.0","11.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","AMR","","SLV","MLE","24.4","24.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","AMR","","SLV","FMLE","15.4","15.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","SUR","MLE","20.7","20.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","SUR","FMLE","16.6","16.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","SUR","MLE","12.6","12.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","SUR","FMLE","8.6","8.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","TTO","MLE","20.0","20.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","TTO","FMLE","16.3","16.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","TTO","MLE","20.8","20.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","TTO","FMLE","17.8","17.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AMR","","TTO","MLE","18.0","18.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AMR","","TTO","FMLE","10.3","10.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","URY","MLE","21.4","21.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","URY","FMLE","24.5","24.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","USA","MLE","12.4","12.40000","","","Tobacco smoking only"
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","USA","FMLE","10.0","10.00000","","","Tobacco smoking only"
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","USA","MLE","15.4","15.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AMR","","USA","FMLE","11.1","11.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","USA","MLE","18.2","18.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AMR","","USA","FMLE","15.9","15.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","USA","MLE","20.7","20.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AMR","","USA","FMLE","16.2","16.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","VCT","MLE","23.6","23.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2011","AMR","","VCT","FMLE","14.6","14.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","VCT","MLE","22.0","22.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AMR","","VCT","FMLE","16.6","16.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AMR","","VCT","MLE","25.3","25.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AMR","","VCT","FMLE","18.5","18.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","VEN","MLE","11.0","11.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AMR","","VEN","FMLE","7.2","7.20000","","",""
"TOBACCO_0000000344","PUBLISHED","1999","AMR","","VEN","MLE","15.3","15.30000","","",""
"TOBACCO_0000000344","PUBLISHED","1999","AMR","","VEN","FMLE","13.9","13.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","EMR","","ARE","MLE","25.2","25.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","EMR","","ARE","FMLE","13.2","13.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","BHR","MLE","33.5","33.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","BHR","FMLE","11.9","11.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2001","EMR","","BHR","MLE","28.0","28.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2001","EMR","","BHR","FMLE","11.7","11.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2013","EMR","","DJI","MLE","18.6","18.60000","","","Tobacco smoking only"
"TOBACCO_0000000344","PUBLISHED","2013","EMR","","DJI","FMLE","15.2","15.20000","","","Tobacco smoking only"
"TOBACCO_0000000344","PUBLISHED","2009","EMR","","DJI","MLE","22.7","22.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","EMR","","DJI","FMLE","14.3","14.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","DJI","MLE","17.9","17.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","DJI","FMLE","10.7","10.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","EMR","","EGY","MLE","20.0","20.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","EMR","","EGY","FMLE","3.8","3.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","EMR","","EGY","MLE","16.0","16.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","EMR","","EGY","FMLE","7.6","7.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","EMR","","IRN","MLE","32.9","32.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","EMR","","IRN","FMLE","19.5","19.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","IRN","MLE","17.6","17.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","IRN","FMLE","8.9","8.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2012","EMR","","IRQ","MLE","12.1","12.10000","","","Tobacco smoking only"
"TOBACCO_0000000344","PUBLISHED","2012","EMR","","IRQ","FMLE","4.6","4.60000","","","Tobacco smoking only"
"TOBACCO_0000000344","PUBLISHED","2009","EMR","","JOR","MLE","34.1","34.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","EMR","","JOR","FMLE","19.4","19.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","EMR","","JOR","MLE","33.7","33.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","EMR","","JOR","FMLE","26.1","26.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","JOR","MLE","31.6","31.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","JOR","FMLE","24.0","24.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","EMR","","KWT","MLE","25.0","25.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","EMR","","KWT","FMLE","11.3","11.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","EMR","","KWT","MLE","28.0","28.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","EMR","","KWT","FMLE","14.3","14.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","EMR","","LBN","MLE","65.8","65.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","EMR","","LBN","FMLE","54.1","54.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","EMR","","LBY","MLE","11.0","11.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","EMR","","LBY","FMLE","5.0","5.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","EMR","","LBY","MLE","15.5","15.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","EMR","","LBY","FMLE","6.1","6.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","LBY","MLE","16.8","16.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","EMR","","LBY","FMLE","8.1","8.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","EMR","","OMN","MLE","4.9","4.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","EMR","","OMN","FMLE","1.7","1.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","EMR","","OMN","MLE","17.8","17.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","EMR","","OMN","FMLE","11.3","11.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","EMR","","OMN","MLE","24.1","24.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","EMR","","OMN","FMLE","7.6","7.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","EMR","","QAT","MLE","25.2","25.20000","","",""
