"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","WORLDBANKREGION","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","EMR","","","","","8.11","8.10540","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","EUR","","","","","3.56","3.56460","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","92.98","92.98110","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","SEAR","","","","","30.81","30.81140","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","WPR","","","","","31.71","31.70820","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_CENTRALASIASOUTHERNASIA","32.43","32.42530","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","35.88","35.88250","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_EUROPE","2.38","2.37980","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_LAC","6.46","6.45570","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_NORTHERNAMR","0.00","0.00250","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_OCEANIA","0.00","0.00000","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_SUBSAHARANAFRICA","11.93","11.92650","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_WESTERNASIANORTHERNAFR","3.91","3.90880","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","UN_Africa","","","","14.11","14.10560","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","UN_Asia","","","","70.04","70.03760","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","UN_Europe","","","","2.38","2.37980","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","UN_Latin America_Caribbean","","","","6.46","6.45570","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","UN_Northern_America","","","","0.00","0.00250","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","UN_Oceania","","","","0.00","0.00000","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","WB_HI","","","0.85","0.84790","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","WB_LI","","","51.70","51.69940","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","WB_LMI","","","35.18","35.17540","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","WB_UMI","","","5.15","5.14640","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","WB_EAP","","35.88","35.88250","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","WB_ECA","","3.57","3.56850","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","WB_LAC","","6.46","6.45570","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","WB_MNA","","4.03","4.02880","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","WB_NAR","","0.00","0.00250","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","WB_SAR","","30.79","30.78760","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2000","","","","WB_SSA","","12.26","12.25540","","",""
