"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"dptv","EQ_DHS","PUBLISHED","2012","AMR","HTI","","","URB","","","65.1 [59.0-70.8]","65.12536","58.97965","70.80606",""
"dptv","EQ_DHS","PUBLISHED","1994","SEAR","IDN","","","RUR","","","52.3 [48.2-56.3]","52.30945","48.24860","56.33999",""
"dptv","EQ_DHS","PUBLISHED","2002","SEAR","IDN","","","RUR","","","52.8 [49.0-56.6]","52.82264","48.99221","56.62013",""
"dptv","EQ_DHS","PUBLISHED","1999","AMR","DOM","","FMLE","","","","53.8 [38.1-68.9]","53.83435","38.05136","68.88440","Attention - Estimate is based on 25-49 cases."
"dptv","EQ_MICS","PUBLISHED","2006","AFR","CIV","","","URB","","","90.2 [86.5-92.9]","90.17502","86.46962","92.94841",""
"dptv","EQ_DHS","PUBLISHED","2015","AMR","COL","","","RUR","","","No data","","","","Not available."
"dptv","EQ_MICS","PUBLISHED","2011","EMR","IRQ","","","URB","","","76.7 [74.6-78.7]","76.73009","74.63282","78.70346",""
"dptv","EQ_MICS","PUBLISHED","2005","AMR","JAM","","","RUR","","","87.0 [80.3-91.7]","86.99722","80.26022","91.67348",""
"dptv","EQ_MICS","PUBLISHED","2011","AMR","JAM","","","URB","","","90.9 [82.7-95.5]","90.91881","82.65202","95.46251",""
"dptv","EQ_DHS","PUBLISHED","1997","EMR","JOR","","","RUR","","","95.1 [91.6-97.2]","95.07643","91.59052","97.16212",""
"dptv","EQ_MICS","PUBLISHED","2006","EUR","KAZ","","","URB","","","99.0 [97.2-99.7]","99.01388","97.17567","99.65988",""
"dptv","EQ_MICS","PUBLISHED","2010","EUR","KAZ","","","RUR","","","98.4 [96.5-99.3]","98.40054","96.46728","99.28368",""
"dptv","EQ_MICS","PUBLISHED","2015","EUR","KAZ","","","URB","","","88.3 [83.9-91.7]","88.34445","83.89339","91.68734",""
"dptv","EQ_DHS","PUBLISHED","1993","AFR","KEN","","","RUR","","","85.9 [83.2-88.2]","85.85686","83.15321","88.18824",""
"dptv","EQ_DHS","PUBLISHED","1998","AFR","KEN","","","URB","","","79.0 [72.9-84.0]","78.95937","72.85265","83.99420",""
"dptv","EQ_DHS","PUBLISHED","2003","AFR","KEN","","","RUR","","","73.4 [69.2-77.2]","73.37347","69.19892","77.16891",""
"dptv","EQ_MICS","PUBLISHED","2014","EUR","KGZ","","","URB","","","92.2 [87.4-95.3]","92.24539","87.40729","95.32413",""
"dptv","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","RUR","","","48.1 [44.1-52.1]","48.11289","44.12840","52.12153",""
"dptv","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","URB","","","76.8 [70.2-82.4]","76.83623","70.15389","82.39783",""
"dptv","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","RUR","","","83.7 [80.8-86.1]","83.65041","80.82760","86.12893",""
"dptv","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","URB","","","92.9 [89.2-95.3]","92.85045","89.19297","95.33485",""
"dptv","EQ_MICS","PUBLISHED","2006","WPR","LAO","","","RUR","","","38.9 [33.1-45.0]","38.86534","33.07682","44.98592",""
"dptv","EQ_DHS","PUBLISHED","2009","AFR","LSO","","","URB","","","91.4 [85.1-95.2]","91.35893","85.05862","95.15396",""
"dptv","EQ_DHS","PUBLISHED","2014","AFR","LSO","","","RUR","","","88.0 [84.1-91.0]","87.95535","84.13885","90.95228",""
"dptv","EQ_DHS","PUBLISHED","2003","EMR","MAR","","","URB","","","97.0 [95.1-98.2]","97.04610","95.11485","98.22809",""
"dptv","EQ_RHS","PUBLISHED","1997","EUR","MDA","","","RUR","","","No data","","","","Not available."
"dptv","EQ_MICS","PUBLISHED","2012","EUR","MDA","","","RUR","","","98.1 [94.4-99.4]","98.14622","94.36710","99.40588",""
"dptv","EQ_MICS","PUBLISHED","2005","EUR","MKD","","","URB","","","89.5 [82.6-93.9]","89.53327","82.62170","93.89899",""
"dptv","EQ_MICS","PUBLISHED","2011","EUR","MKD","","","RUR","","","99.6 [97.2-99.9]","99.62061","97.23656","99.94900",""
"dptv","EQ_DHS","PUBLISHED","1995","AFR","MLI","","","URB","","","64.1 [58.2-69.5]","64.06988","58.21594","69.53290",""
"dptv","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","RUR","","","30.4 [26.1-35.0]","30.40041","26.14243","35.02304",""
"dptv","EQ_MICS","PUBLISHED","2013","EUR","MNE","","","URB","","","92.4 [84.7-96.4]","92.38100","84.70414","96.37003",""
"dptv","EQ_MICS","PUBLISHED","2005","WPR","MNG","","","RUR","","","89.1 [83.9-92.7]","89.06355","83.89269","92.71851",""
"dptv","EQ_MICS","PUBLISHED","2010","WPR","MNG","","","URB","","","93.8 [90.4-96.1]","93.84723","90.43324","96.09550",""
"dptv","EQ_MICS","PUBLISHED","2013","WPR","MNG","","","RUR","","","96.9 [93.9-98.4]","96.85308","93.85568","98.41296",""
"dptv","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","URB","","","93.8 [89.3-96.5]","93.80916","89.34658","96.47614",""
"dptv","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","","RUR","","","65.9 [61.7-69.8]","65.85726","61.66309","69.81718",""
"dptv","EQ_MICS","PUBLISHED","2006","AFR","MWI","","","RUR","","","85.4 [83.5-87.1]","85.38729","83.53340","87.06478",""
"dptv","EQ_DHS","PUBLISHED","2010","AFR","MWI","","","URB","","","94.2 [88.9-97.0]","94.19891","88.93569","97.04173",""
"dptv","EQ_MICS","PUBLISHED","2013","AFR","MWI","","","RUR","","","92.4 [90.9-93.7]","92.39289","90.90788","93.65230",""
"dptv","EQ_DHS","PUBLISHED","2015","AFR","MWI","","","URB","","","90.6 [85.7-94.0]","90.64529","85.68710","94.00603",""
"dptv","EQ_DHS","PUBLISHED","2000","AFR","NAM","","","RUR","","","76.4 [70.6-81.3]","76.38719","70.64715","81.30183",""
"dptv","EQ_DHS","PUBLISHED","1999","AFR","NGA","","","URB","","","45.8 [38.9-52.9]","45.83271","38.88405","52.94734",""
"dptv","EQ_DHS","PUBLISHED","2003","AFR","NGA","","","RUR","","","13.5 [8.9-19.8]","13.46806","8.93230","19.80611",""
"dptv","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","URB","","","50.7 [45.0-56.5]","50.74109","44.96056","56.50188",""
"dptv","EQ_DHS","PUBLISHED","2008","AFR","NGA","","","RUR","","","27.4 [25.1-29.8]","27.42720","25.13970","29.83987",""
"dptv","EQ_DHS","PUBLISHED","2013","AFR","NGA","","","RUR","","","25.2 [22.8-27.7]","25.16423","22.81415","27.66960",""
"dptv","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","","URB","","","78.2 [67.1-86.3]","78.15314","67.08884","86.25958",""
"dptv","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","","RUR","","","88.1 [84.5-91.0]","88.12570","84.46014","91.01856",""
"dptv","EQ_MICS","PUBLISHED","2010","SEAR","NPL","","","URB","","","63.0 [52.0-72.7]","62.96606","52.00842","72.73348",""
"dptv","EQ_DHS","PUBLISHED","2011","SEAR","NPL","","","RUR","","","91.5 [87.8-94.2]","91.50729","87.80963","94.15797",""
"dptv","EQ_DHS","PUBLISHED","2000","AMR","PER","","","URB","","","89.4 [87.1-91.3]","89.39008","87.11724","91.30196",""
"dptv","EQ_DHS","PUBLISHED","2005","AMR","PER","","","URB","","","84.7 [77.0-90.2]","84.73633","77.02962","90.18678",""
"dptv","EQ_DHS","PUBLISHED","2006","AMR","PER","","","RUR","","","72.4 [65.3-78.5]","72.36319","65.30888","78.45623",""
"dptv","EQ_DHS","PUBLISHED","2007","AMR","PER","","","URB","","","81.1 [72.9-87.3]","81.10985","72.86305","87.28772",""
"dptv","EQ_DHS","PUBLISHED","2008","AMR","PER","","","RUR","","","75.9 [70.7-80.5]","75.92809","70.70283","80.47872",""
"dptv","EQ_DHS","PUBLISHED","1998","WPR","PHL","","","URB","","","85.6 [81.2-89.1]","85.59540","81.24432","89.07285",""
"dptv","EQ_DHS","PUBLISHED","2003","WPR","PHL","","","RUR","","","73.8 [70.0-77.3]","73.81799","69.95312","77.34673",""
"dptv","EQ_DHS","PUBLISHED","2008","WPR","PHL","","","URB","","","88.2 [84.7-91.0]","88.22916","84.71689","91.01984",""
"dptv","EQ_DHS","PUBLISHED","2013","WPR","PHL","","","RUR","","","84.6 [81.6-87.2]","84.63711","81.61568","87.23962",""
"dptv","EQ_RHS","PUBLISHED","1995","AMR","PRY","","","URB","","","No data","","","","Not available."
"dptv","EQ_RHS","PUBLISHED","1998","AMR","PRY","","","RUR","","","No data","","","","Not available."
"dptv","EQ_DHS","PUBLISHED","2014","AFR","RWA","","","URB","","","98.7 [96.5-99.5]","98.69041","96.53081","99.51244",""
"dptv","EQ_MICS","PUBLISHED","2010","EMR","SDN","","","RUR","","","58.1 [54.8-61.3]","58.10213","54.79572","61.33734",""
"dptv","EQ_MICS","PUBLISHED","2014","EMR","SDN","","","URB","","","83.2 [79.3-86.5]","83.22726","79.32474","86.51836",""
"dptv","EQ_DHS","PUBLISHED","1997","AFR","SEN","","","RUR","","","No data","","","","Not available."
"dptv","EQ_DHS","PUBLISHED","2005","AFR","SEN","","","URB","","","79.6 [74.9-83.6]","79.62427","74.94228","83.62261",""
"dptv","EQ_DHS","PUBLISHED","2010","AFR","SEN","","","RUR","","","82.0 [79.1-84.6]","81.97722","79.07436","84.55602",""
"dptv","EQ_MICS","PUBLISHED","2010","AFR","SLE","","","URB","","","74.3 [68.3-79.4]","74.26962","68.33449","79.42722",""
"dptv","EQ_DHS","PUBLISHED","2004","AFR","MWI","","","URB","","","89.8 [81.2-94.8]","89.83636","81.15631","94.77548",""
"dptv","EQ_DHS","PUBLISHED","2013","AFR","SLE","","","RUR","","","78.5 [75.1-81.5]","78.48695","75.08147","81.54143",""
"dptv","EQ_RHS","PUBLISHED","1993","AMR","SLV","","","URB","","","82.3 [74.5-88.1]","82.27361","74.46296","88.07780",""
"dptv","EQ_RHS","PUBLISHED","1998","AMR","SLV","","","RUR","","","86.8 [82.6-90.1]","86.80740","82.57823","90.13261",""
"dptv","EQ_MICS","PUBLISHED","2010","EUR","SRB","","","URB","","","No data","","","","Not available."
"dptv","EQ_MICS","PUBLISHED","2010","AFR","SSD","","","URB","","","23.7 [18.3-30.0]","23.67648","18.33646","30.00033",""
"dptv","EQ_DHS","PUBLISHED","2008","AFR","STP","","","RUR","","","86.3 [79.6-91.1]","86.32085","79.57456","91.08845",""
"dptv","EQ_MICS","PUBLISHED","2014","AFR","STP","","","URB","","","96.4 [93.1-98.1]","96.39458","93.13400","98.13772",""
"dptv","EQ_MICS","PUBLISHED","2006","AMR","SUR","","","RUR","","","90.5 [83.4-94.7]","90.49155","83.39105","94.74770",""
"dptv","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","URB","","","41.8 [35.8-48.1]","41.80934","35.79952","48.07261",""
"dptv","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","RUR","","","15.1 [11.5-19.4]","15.06612","11.53585","19.43934",""
"dptv","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","URB","","","27.7 [23.1-32.8]","27.69507","23.09668","32.81829",""
"dptv","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","RUR","","","32.4 [29.1-35.8]","32.39983","29.14268","35.83691",""
"dptv","EQ_DHS","PUBLISHED","1998","AFR","TGO","","","URB","","","61.9 [53.7-69.6]","61.93836","53.65381","69.58159",""
"dptv","EQ_MICS","PUBLISHED","2006","AFR","TGO","","","RUR","","","61.0 [55.5-66.2]","60.97573","55.54035","66.15160",""
"dptv","EQ_DHS","PUBLISHED","2012","EUR","TJK","","","URB","","","91.8 [88.0-94.5]","91.84933","88.00025","94.54037",""
"dptv","EQ_MICS","PUBLISHED","2006","EUR","TKM","","","RUR","","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"dptv","EQ_MICS","PUBLISHED","2015","EUR","TKM","","","URB","","","96.6 [93.5-98.2]","96.57594","93.47923","98.22987",""
"dptv","EQ_DHS","PUBLISHED","2009","SEAR","TLS","","","RUR","","","65.0 [61.2-68.6]","64.99396","61.23948","68.57142",""
"dptv","EQ_MICS","PUBLISHED","2006","AMR","TTO","","","URB","","","No data","","","","Not available."
"dptv","EQ_MICS","PUBLISHED","2011","EMR","TUN","","","RUR","","","97.2 [93.5-98.8]","97.19961","93.53263","98.81379",""
"dptv","EQ_DHS","PUBLISHED","2004","AFR","TZA","","","URB","","","94.3 [89.3-97.0]","94.29716","89.27866","97.04434",""
"dptv","EQ_DHS","PUBLISHED","2010","AFR","TZA","","","RUR","","","85.9 [82.5-88.7]","85.87855","82.45927","88.72246",""
"dptv","EQ_DHS","PUBLISHED","2015","AFR","TZA","","","URB","","","95.0 [92.6-96.6]","94.96935","92.57935","96.61772",""
"dptv","EQ_DHS","PUBLISHED","1995","AFR","UGA","","","RUR","","","59.7 [55.6-63.7]","59.68883","55.59222","63.65461",""
"dptv","EQ_DHS","PUBLISHED","2007","EUR","UKR","","","URB","","","No data","","","","Not available."
"dptv","EQ_MICS","PUBLISHED","2012","AMR","URY","","","URB","","","No data","","","","Not available."
"dptv","EQ_DHS","PUBLISHED","1996","EUR","UZB","","","RUR","","","91.9 [88.1-94.5]","91.85970","88.09326","94.50897",""
"dptv","EQ_MICS","PUBLISHED","2006","EUR","UZB","","","URB","","","89.3 [84.9-92.5]","89.28879","84.87898","92.52579",""
"dptv","EQ_DHS","PUBLISHED","1997","WPR","VNM","","","RUR","","","64.3 [60.0-68.4]","64.30025","60.00795","68.37467",""
"dptv","EQ_MICS","PUBLISHED","2006","EMR","YEM","","","URB","","","81.3 [73.7-87.1]","81.31908","73.71320","87.10912",""
"dptv","EQ_DHS","PUBLISHED","2013","EMR","YEM","","","RUR","","","53.9 [50.4-57.3]","53.85418","50.39767","57.27402",""
