"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"itnwm","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","ALBRHS200203","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200502","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200504","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201701","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201708","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201710","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","DZAMICS200002","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","DZAMICS200004","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","DZAMICS200604","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201202","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201204","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199608","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199610","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199617","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201502","","29.3 [17.3-45.1]","29.00000","17.00000","45.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201507","","32.1 [20.2-47.0]","32.00000","20.00000","47.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201509","","16.4 [9.3-27.4]","16.00000","9.00000","27.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201516","","5.9 [2.6-12.7]","6.00000","3.00000","13.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201518","","5.4 [1.6-16.4]","5.00000","2.00000","16.00000","Attention - Estimate is based on 25-49 cases."
"itnwm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200001","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200006","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200008","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200507","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200509","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201001","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201006","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201008","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201507","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201509","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200602","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200607","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200609","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","BGDDHS199301","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199902","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199904","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","BGDDHS200401","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","BGDMICS200603","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","BGDMICS200605","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","","BGDDHS200702","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","BGDDHS201101","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","BGDDHS201103","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","BGDMICS201205","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","BGDMICS201207","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","BGDDHS201402","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","BGDDHS201404","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","BGDDHS201406","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","BLRMICS200503","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","BLRMICS200505","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","BLRMICS201202","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","BLZMICS200602","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","BLZMICS200604","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","BLZMICS201103","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","BLZMICS201105","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","BLZMICS201502","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","BLZMICS201507","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","BENDHS199602","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","BENDHS200106","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","BENDHS200602","","20.4 [14.8-27.5]","20.00000","15.00000","27.00000",""
"itnwm","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","BENDHS200604","","17.7 [11.6-26.1]","18.00000","12.00000","26.00000",""
"itnwm","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","BENDHS200609","","21.4 [14.5-30.4]","21.00000","14.00000","30.00000",""
