"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_2_prev_youth","PUBLISHED","WPR","NZL","MLE","3.5","3.50000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","MDA","FMLE","3.8","3.80000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","MNE","FMLE","4.4","4.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","DOM","BTSX","4.7","4.70000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","CMR","BTSX","4.8","4.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","ZWE","MLE","4.8","4.80000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","SOM","MLE","4.9","4.90000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","COG","FMLE","5.0","5.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","GNB","BTSX","5.1","5.10000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","BLZ","FMLE","5.4","5.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","VEN","FMLE","5.4","5.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","NGA","MLE","5.6","5.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","ZMB","FMLE","5.7","5.70000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","EGY","MLE","5.8","5.80000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","NOR","FMLE","6.0","6.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","ZMB","BTSX","6.2","6.20000","","",""
"M_def_2_prev_youth","PUBLISHED","SEAR","MDV","MLE","6.2","6.20000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","BRB","FMLE","6.6","6.60000","","",""
"M_def_2_prev_youth","PUBLISHED","SEAR","MMR","BTSX","6.8","6.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","PAN","MLE","7.0","7.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","KEN","MLE","7.4","7.40000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","KWT","FMLE","7.5","7.50000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","ARM","MLE","8.0","8.00000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","LAO","BTSX","8.0","8.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","COD","BTSX","8.1","8.10000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","ATG","MLE","8.2","8.20000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","CUB","FMLE","8.7","8.70000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","BRN","BTSX","8.9","8.90000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","YEM","MLE","9.2","9.20000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","GEO","MLE","9.9","9.90000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","DNK","BTSX","10.0","10.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","EST","FMLE","10.0","10.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","POL","BTSX","10.0","10.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","ROU","MLE","10.1","10.10000","","",""
