"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BACGROUP","Display Value","Numeric","Low","High","Comments"
"SA_0000001520","PUBLISHED","2016","WPR","SLB","SA_PROFESS_COMMERCE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","TLS","SA_YOUNG_NOVICE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","ERI","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","PAN","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","LCA","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","VCT","SA_PROFESS_COMMERCE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","GIN","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","GNB","SA_GENERAL_POPULATION","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","MDG","SA_PROFESS_COMMERCE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","MWI","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","NAM","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","NAM","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","BFA","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","BFA","SA_YOUNG_NOVICE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","TCD","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","COM","SA_GENERAL_POPULATION","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","GNQ","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","VEN","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","VEN","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","IRQ","SA_YOUNG_NOVICE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","IRQ","SA_PROFESS_COMMERCE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","DEU","SA_PROFESS_COMMERCE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","GRC","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","ISR","SA_PROFESS_COMMERCE_DRIVERS","0.01%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","ITA","SA_PROFESS_COMMERCE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","KAZ","SA_GENERAL_POPULATION","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","LUX","SA_YOUNG_NOVICE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","LUX","SA_PROFESS_COMMERCE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","POL","SA_YOUNG_NOVICE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","POL","SA_PROFESS_COMMERCE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","MAR","SA_YOUNG_NOVICE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","OMN","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","SDN","SA_GENERAL_POPULATION","total ban","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","CHE","SA_YOUNG_NOVICE_DRIVERS","0.01%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","TJK","SA_YOUNG_NOVICE_DRIVERS","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","GBR","SA_GENERAL_POPULATION","subnational","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","SYC","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","SYC","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","TGO","SA_YOUNG_NOVICE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","UGA","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","THA","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","TLS","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","CHN","SA_PROFESS_COMMERCE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","COK","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","ARG","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","ARG","SA_YOUNG_NOVICE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","WSM","SA_YOUNG_NOVICE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","WSM","SA_PROFESS_COMMERCE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","DMA","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","GTM","SA_PROFESS_COMMERCE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","GUY","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","NIC","SA_PROFESS_COMMERCE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","SDN","SA_YOUNG_NOVICE_DRIVERS","total ban","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","BIH","SA_YOUNG_NOVICE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","CZE","SA_PROFESS_COMMERCE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","DNK","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","SRB","SA_YOUNG_NOVICE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","SRB","SA_PROFESS_COMMERCE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","CHE","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","GBR","SA_YOUNG_NOVICE_DRIVERS","subnational","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","IDN","SA_GENERAL_POPULATION","none","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","IDN","SA_YOUNG_NOVICE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","LKA","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","MYS","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","MHL","SA_GENERAL_POPULATION","none","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","NZL","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","NIU","SA_PROFESS_COMMERCE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","VNM","SA_YOUNG_NOVICE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","VNM","SA_PROFESS_COMMERCE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","AND","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","AND","SA_YOUNG_NOVICE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","BEL","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","BIH","SA_GENERAL_POPULATION","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","ARE","SA_GENERAL_POPULATION","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","DZA","SA_GENERAL_POPULATION","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","BEN","SA_YOUNG_NOVICE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","BFA","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","CAF","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","COM","SA_PROFESS_COMMERCE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","COD","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","ETH","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","GHA","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","GNB","SA_YOUNG_NOVICE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","MDG","SA_GENERAL_POPULATION","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","MLI","SA_YOUNG_NOVICE_DRIVERS","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","MUS","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","NGA","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","STP","SA_PROFESS_COMMERCE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","SLE","SA_GENERAL_POPULATION","none","","","",""
