"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","NGAMICS200703","34.9","34.88857","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AFR","SEN","","","","SENDHS201205","35.1","35.10319","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","RWA","","","","RWADHS200508","35.1","35.12161","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","GAB","","","","GABDHS200002","35.2","35.21124","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AFR","MDG","","","","MDGDHS200305","35.2","35.23079","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","BENDHS199601","35.3","35.31315","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","GIN","","","","GINDHS200501","35.4","35.40774","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","KHMDHS200518","35.4","35.41135","","",""
"cci2030","EQ_DHS","PUBLISHED","1993","AFR","GHA","","","WQ2","","35.5","35.46558","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AFR","MDG","","","","MDGDHS200304","35.6","35.55066","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","RWA","","","","RWADHS200003","35.6","35.64542","","",""
"cci2030","EQ_DHS","PUBLISHED","2004","AFR","TCD","","URB","","","35.7","35.73793","","",""
"cci2030","EQ_DHS","PUBLISHED","2013","EMR","YEM","","","WQ2","","35.9","35.89113","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","TGO","","","","TGODHS199806","35.9","35.94257","","",""
"cci2030","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201515","36.1","36.06256","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200312","36.1","36.07860","","",""
"cci2030","EQ_DHS","PUBLISHED","2007","AFR","COD","","RUR","","","36.2","36.17536","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200001","36.2","36.22213","","",""
"cci2030","EQ_DHS","PUBLISHED","2008","AFR","MDG","NHLM","","","","36.4","36.40826","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","GIN","NHLM","","","","36.4","36.42064","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","","HTIDHS200006","36.6","36.56982","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","","CIVDHS199402","36.6","36.59982","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","SEAR","IND","","","","INDDHS200508","36.9","36.87460","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","RWA","","RUR","","","37.0","36.97709","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","COD","NHLM","","","","37.0","36.99290","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","GIN","","","","GINDHS200505","37.1","37.12548","","",""
"cci2030","EQ_DHS","PUBLISHED","2013","EMR","YEM","NHLM","","","","37.2","37.16479","","",""
"cci2030","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","MDGDHS200807","37.5","37.45627","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","GHA","NHLM","","","","37.5","37.50630","","",""
"cci2030","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201503","37.6","37.61251","","",""
"cci2030","EQ_DHS","PUBLISHED","1993","EUR","TUR","NHLM","","","","37.7","37.66386","","",""
"cci2030","EQ_DHS","PUBLISHED","2007","AFR","COD","","","WQ2","","36.7","36.69496","","",""
"cci2030","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","WQ1","","36.7","36.74664","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200305","36.8","36.80384","","",""
"cci2030","EQ_DHS","PUBLISHED","1993","AFR","GHA","","","","GHADHS199302","38.6","38.57556","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","AMR","PER","","","WQ1","","38.7","38.67559","","",""
"cci2030","EQ_DHS","PUBLISHED","2010","AFR","SEN","","","","SENDHS201013","38.7","38.73792","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","COD","","","","CODMICS201011","38.8","38.80446","","",""
"cci2030","EQ_DHS","PUBLISHED","2007","AFR","COD","","","WQ3","","38.8","38.83295","","",""
"cci2030","EQ_MICS","PUBLISHED","2014","EMR","SDN","","","","SDNMICS201417","38.9","38.85957","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","COD","","","","CODMICS201010","38.9","38.93679","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","UGA","","","WQ2","","38.9","38.94713","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","","BOLDHS199403","39.1","39.08513","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","TCD","","URB","","","37.8","37.77311","","",""
