"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_10_HYG","PUBLISHED","2016","AMR","DOM","YEARSALL","MLE","INADEQUATE_HYGIENE","27","26.73764","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","MLT","YEARSALL","BTSX","INADEQUATE_HYGIENE","0","0.14327","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","MNG","YEARSALL","BTSX","INADEQUATE_HYGIENE","9","8.74945","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","POL","YEARSALL","FMLE","INADEQUATE_HYGIENE","22","21.57107","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","PRY","YEARSALL","FMLE","INADEQUATE_HYGIENE","12","11.97524","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","BGR","YEARSALL","MLE","INADEQUATE_HYGIENE","1","1.30129","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","BIH","YEARSALL","MLE","INADEQUATE_HYGIENE","0","0.34975","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","COM","YEARSALL","BTSX","INADEQUATE_HYGIENE","82","82.37615","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","CUB","YEARSALL","BTSX","INADEQUATE_HYGIENE","29","29.09219","","",""
"WSH_10_HYG","PUBLISHED","2016","SEAR","MDV","YEARSALL","MLE","INADEQUATE_HYGIENE","0","0.26721","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","MKD","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.15551","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","PER","YEARSALL","FMLE","INADEQUATE_HYGIENE","58","57.57727","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","ROU","YEARSALL","BTSX","INADEQUATE_HYGIENE","20","20.00055","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","ARE","YEARSALL","MLE","INADEQUATE_HYGIENE","2","1.61544","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","BLR","YEARSALL","FMLE","INADEQUATE_HYGIENE","1","0.86400","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","BRN","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.08726","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","ITA","YEARSALL","MLE","INADEQUATE_HYGIENE","30","29.89825","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","KEN","YEARSALL","BTSX","INADEQUATE_HYGIENE","4990","4989.71442","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","MDA","YEARSALL","BTSX","INADEQUATE_HYGIENE","1","0.97850","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","MLI","YEARSALL","BTSX","INADEQUATE_HYGIENE","2413","2412.57452","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","UKR","YEARSALL","FMLE","INADEQUATE_HYGIENE","18","18.32473","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","VNM","YEARSALL","MLE","INADEQUATE_HYGIENE","272","272.20907","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","ARM","YEARSALL","BTSX","INADEQUATE_HYGIENE","1","1.36886","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","BDI","YEARSALL","BTSX","INADEQUATE_HYGIENE","1339","1338.95168","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","HTI","YEARSALL","BTSX","INADEQUATE_HYGIENE","391","391.17177","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","IRQ","YEARSALL","FMLE","INADEQUATE_HYGIENE","101","101.34145","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","JOR","YEARSALL","FMLE","INADEQUATE_HYGIENE","11","10.95714","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","LTU","YEARSALL","BTSX","INADEQUATE_HYGIENE","2","2.34159","","",""
"WSH_10_HYG","PUBLISHED","2016","SEAR","MDV","YEARSALL","BTSX","INADEQUATE_HYGIENE","0","0.39051","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","TKM","YEARSALL","MLE","INADEQUATE_HYGIENE","37","36.70609","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","TUR","YEARSALL","BTSX","INADEQUATE_HYGIENE","78","77.93048","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","AGO","YEARSALL","MLE","INADEQUATE_HYGIENE","1419","1419.35005","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","GNQ","YEARSALL","FMLE","INADEQUATE_HYGIENE","30","29.98066","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","HRV","YEARSALL","FMLE","INADEQUATE_HYGIENE","3","3.09367","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","JPN","YEARSALL","FMLE","INADEQUATE_HYGIENE","126","125.58919","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","KOR","YEARSALL","FMLE","INADEQUATE_HYGIENE","43","42.50289","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","SLV","YEARSALL","FMLE","INADEQUATE_HYGIENE","13","13.36151","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","SVK","YEARSALL","FMLE","INADEQUATE_HYGIENE","1","1.48244","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","SYR","YEARSALL","MLE","INADEQUATE_HYGIENE","81","80.63808","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","URY","YEARSALL","FMLE","INADEQUATE_HYGIENE","8","7.56537","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","VUT","YEARSALL","FMLE","INADEQUATE_HYGIENE","2","2.31511","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","CZE","YEARSALL","FMLE","INADEQUATE_HYGIENE","11","11.38266","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","DZA","YEARSALL","FMLE","INADEQUATE_HYGIENE","107","106.60796","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","GUY","YEARSALL","FMLE","INADEQUATE_HYGIENE","3","2.54018","","",""
"WSH_10_HYG","PUBLISHED","2016","SEAR","IND","YEARSALL","MLE","INADEQUATE_HYGIENE","19467","19467.33737","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","QAT","YEARSALL","BTSX","INADEQUATE_HYGIENE","0","0.20694","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","SEN","YEARSALL","FMLE","INADEQUATE_HYGIENE","355","355.43332","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","TCD","YEARSALL","MLE","INADEQUATE_HYGIENE","1364","1364.08985","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","TGO","YEARSALL","FMLE","INADEQUATE_HYGIENE","279","279.35665","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","BHR","YEARSALL","MLE","INADEQUATE_HYGIENE","0","0.29912","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","BHS","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.12734","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","COD","YEARSALL","MLE","INADEQUATE_HYGIENE","4720","4719.53875","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","CPV","YEARSALL","BTSX","INADEQUATE_HYGIENE","5","5.29737","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","LUX","YEARSALL","BTSX","INADEQUATE_HYGIENE","0","0.27921","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","MEX","YEARSALL","FMLE","INADEQUATE_HYGIENE","183","182.52071","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","PAK","YEARSALL","BTSX","INADEQUATE_HYGIENE","7480","7479.94087","","",""
