"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_2","PUBLISHED","2012","EUR","TUR","ENVCAUSE151","10","10.19322","","",""
"TOTENV_2","PUBLISHED","2012","EUR","UZB","ENVCAUSE151","16","16.09339","","",""
"TOTENV_2","PUBLISHED","2012","AFR","BDI","ENVCAUSE060","164","164.44506","","",""
"TOTENV_2","PUBLISHED","2012","EUR","BLR","ENVCAUSE060","138","138.01716","","",""
"TOTENV_2","PUBLISHED","2012","WPR","BRN","ENVCAUSE060","46","46.34159","","",""
"TOTENV_2","PUBLISHED","2012","AFR","CMR","ENVCAUSE060","133","132.85458","","",""
"TOTENV_2","PUBLISHED","2012","EUR","CYP","ENVCAUSE060","44","44.19392","","",""
"TOTENV_2","PUBLISHED","2012","EUR","GRC","ENVCAUSE060","63","62.62165","","",""
"TOTENV_2","PUBLISHED","2012","AMR","KNA","ENVCAUSE060","47","46.89993","","",""
"TOTENV_2","PUBLISHED","2012","AMR","LCA","ENVCAUSE060","77","76.93424","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","MDV","ENVCAUSE060","51","51.20729","","",""
"TOTENV_2","PUBLISHED","2012","WPR","NIU","ENVCAUSE060","49","49.47119","","",""
"TOTENV_2","PUBLISHED","2012","EUR","NLD","ENVCAUSE060","46","45.69364","","",""
"TOTENV_2","PUBLISHED","2012","EMR","QAT","ENVCAUSE060","59","59.48838","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SEN","ENVCAUSE060","98","98.09458","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SSD","ENVCAUSE060","115","114.96631","","",""
"TOTENV_2","PUBLISHED","2012","AFR","STP","ENVCAUSE060","82","81.90929","","",""
"TOTENV_2","PUBLISHED","2012","EMR","TUN","ENVCAUSE060","88","88.42309","","",""
"TOTENV_2","PUBLISHED","2012","EUR","TUR","ENVCAUSE060","102","101.79934","","",""
"TOTENV_2","PUBLISHED","2012","AFR","TZA","ENVCAUSE060","102","101.85901","","",""
"TOTENV_2","PUBLISHED","2012","WPR","VNM","ENVCAUSE060","119","119.22059","","",""
"TOTENV_2","PUBLISHED","2012","AMR","ARG","ENVCAUSE001","4","3.90397","","",""
"TOTENV_2","PUBLISHED","2012","AFR","BFA","ENVCAUSE001","108","108.14509","","",""
"TOTENV_2","PUBLISHED","2012","EUR","CHE","ENVCAUSE001","1","0.61941","","",""
"TOTENV_2","PUBLISHED","2012","WPR","COK","ENVCAUSE001","7","7.17908","","",""
"TOTENV_2","PUBLISHED","2012","EUR","CZE","ENVCAUSE001","1","0.90603","","",""
"TOTENV_2","PUBLISHED","2012","EUR","ESP","ENVCAUSE001","1","0.61371","","",""
"TOTENV_2","PUBLISHED","2012","AFR","GAB","ENVCAUSE001","105","105.07938","","",""
"TOTENV_2","PUBLISHED","2012","AMR","GTM","ENVCAUSE001","21","21.09663","","",""
"TOTENV_2","PUBLISHED","2012","WPR","JPN","ENVCAUSE001","1","0.70300","","",""
"TOTENV_2","PUBLISHED","2012","AFR","MWI","ENVCAUSE001","124","123.75641","","",""
"TOTENV_2","PUBLISHED","2012","WPR","NIU","ENVCAUSE001","12","12.37815","","",""
"TOTENV_2","PUBLISHED","2012","EUR","NOR","ENVCAUSE001","1","0.87899","","",""
"TOTENV_2","PUBLISHED","2012","EMR","QAT","ENVCAUSE001","2","2.47292","","",""
"TOTENV_2","PUBLISHED","2012","WPR","SGP","ENVCAUSE001","1","1.36339","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SLE","ENVCAUSE001","223","223.27332","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SVN","ENVCAUSE001","0","0.45379","","",""
"TOTENV_2","PUBLISHED","2012","EUR","TKM","ENVCAUSE001","18","17.84382","","",""
"TOTENV_2","PUBLISHED","2012","EUR","TUR","ENVCAUSE001","3","3.22480","","",""
"TOTENV_2","PUBLISHED","2012","AFR","TZA","ENVCAUSE001","107","106.60338","","",""
